id,time,content
1196891464883679234,Tue Nov 19 20:42:17,FACT: This is what Labour does when it runs the economy - they crash the economy #LeadersDebate https://t.co/WBcRLcxREg
1196891506390552576,Tue Nov 19 20:42:26,Labour's Shadow Health Secretary admitted just days ago there would be private provision in the NHS under Labour #leadersdebate https://t.co/UPVPPoy12v
1196891610681921537,Tue Nov 19 20:42:51,FACT: Corbyn's Labour would spend £1.2 trillion over the next five years if they get elected - the equivalent of funding the entire NHS budget for nine years #CostofCorbyn
1196892139923410945,Tue Nov 19 20:44:57,"The #CostofCorbyn would add a £2,400 bill to taxpayers every year -that's the equivalent of a month's wages #LeadersDebate"
1196892313697562631,Tue Nov 19 20:45:39,FACT: Wages are rising and the proportion of low paid jobs is at a record low #LeadersDebate https://t.co/GCBCFi6f1c
1196892596200787969,Tue Nov 19 20:46:46,"False Corbyn claim on jobs - just last week, was confirmed number of people in FULL-TIME jobs at RECORD HIGH #leadersdebate https://t.co/q1ovcJlBIY"
1196892689528184832,Tue Nov 19 20:47:09,FACT: Dedicated and hardworking staff at our NHS would find themselves working up to 2.5 million unpaid hours a week under Labour’s plans.  #LeadersDebate https://t.co/u5uaP9yXE3
1196893047583313920,Tue Nov 19 20:48:34,Corbyn’s Labour wouldn’t hit billionaires: They’d hurt hard pressed families They’d stop people passing on their family home They’d take away your family home with higher taxes Labour don’t want to help people succeed  #LeadersDebate
1196893918283087879,Tue Nov 19 20:52:01,"FACT: @Conservatives have taken world-leading action to tackle climate change  The UK is first advanced economy in the world to pass a net zero target.   We’ve reduced emissions faster than any other advanced economy, while continuing to grow our economy.   #LeadersDebate https://t.co/z8ikQEvyAi"
1196894413093519360,Tue Nov 19 20:53:59,FACT: Under the @Conservatives  📉We've cut emissions faster than any other G20 country  💡Renewable electricity generation at RECORD HIGH  🌍First major economy to legislate for Net Zero #leadersdebate
1196894731474788352,Tue Nov 19 20:55:15,All we want for Christmas is to #GetBrexitDone
1196895054482280448,Tue Nov 19 20:56:32,.@BorisJohnson is the clear winner in tonight's #LeadersDebate https://t.co/KTjSW0fn79
1196895233725911040,Tue Nov 19 20:57:15,".@BorisJohnson  End the dither and delay, end the deadlock, #GetBrexitDone so we can move on as a country and get on with investing in our NHS, our schools, 20,000 more police on our streets and a strong, thriving economy #leadersdebate"
1196899913432535040,Tue Nov 19 21:15:51,Tonight we held @jeremycorbyn to account. Only @BorisJohnson has a plan to #GetBrexitDone
